Index,Region,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectID,ProjectDescription,TypeofWork,FundingYear,ContractID,ABC_String,ContractCost_String,CompletionDateActual,Contractor,StartDate,Latitude,Longitude,ContractCost,Turnaround Time (Days)
7153,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),CITY OF TABACO (ALBAY),Albay 1st District Engineering Office,P00740480LZ,"Construction of Baranghawon River Control, Barangay Baranghawon, Tabaco City, Albay",Construction of Flood Mitigation Structure,2023,23FA0019,144749999.01,144750000,2023-11-07,"SANRHO BUILDERS, INC.(FOR. SANRHO CONST. AND SUPPL",2023-04-14,13.35377,123.7182,144750000.0,207
7154,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),CITY OF TABACO (ALBAY),Albay 1st District Engineering Office,P00727202LZ,"Construction of Baranghawon Flood Mitigation Structure, Tabaco City",Construction of Flood Mitigation Structure,2023,23FA0035,46059971.1,21560000,2023-09-15,JORMAND CONSTRUCTION & SUPPLY,2023-05-09,13.35377,123.7182,21560000.0,129
7160,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),LEGAZPI CITY (CAPITAL) (ALBAY),Albay 2nd District Engineering Office,P00740659LZ,"Construction of Flood Mitigation Structure (Revetment Wall), Sitio Misua B, Banquerohan, Legazpi City, Albay",Construction of Dike,2023,23FB0148,48886193,48885924.75,2023-12-06,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC. / CBC CONSTRUCTION & SUPPLY,2023-06-19,13.036393,123.723449,48885924.75,170
7162,Region VII,CEBU (THIRD LEGISLATIVE DISTRICT),BALAMBAN (CEBU),Cebu 3rd District Engineering Office,P00721820VS,"Rehabilitation of Flood Mitigation Structure at Combado River, Barangay Cantuod, Balamban, Cebu",Rehabilitation / Major Repair of Flood Control Structure,2023,23HF0021,19600000,19403655,2023-07-28,WTG CONSTRUCTION & DEVELOPMENT CORPORATION,2023-02-02,10.526972,123.72446,19403655.0,176
7169,Region VII,CEBU (THIRD LEGISLATIVE DISTRICT),BALAMBAN (CEBU),Cebu 3rd District Engineering Office,P00721765VS,"Construction of Flood Mitigation Structure at Combado River, Barangay Singsing, Balamban, Cebu",Construction of Flood Mitigation Structure,2023,23HF0012,67550000,67177531,2023-10-20,HELM CONSTRUCTION & SUPPLIES,2023-02-09,10.52424167,123.7288639,67177531.0,253
7170,Region V,MASBATE (FIRST LEGISLATIVE DISTRICT),SAN FERNANDO (MASBATE),Masbate 1st District Engineering Office,P00726293LZ,"Construction of Flood Mitigation Structure at Bito River (Upstream), Brgy. Magkaipit, San Fernando, Masbate",Construction of Flood Mitigation Structure,2023,23FM0008,23520000,23519966.83,2024-01-02,KYLA CONSTRUCTION SUPPLY,2023-04-09,12.48889,123.7292,23519966.83,268
7173,Region VII,CEBU (THIRD LEGISLATIVE DISTRICT),BALAMBAN (CEBU),Cebu 3rd District Engineering Office,P00721766VS,"Construction of Flood Mitigation Structure at Combado River, Sitio Combado, Barangay Cantuod, Balamban, Cebu",Construction of Flood Mitigation Structure,2023,23HF0014,67550000,66947542,2023-10-20,WTG CONSTRUCTION & DEVELOPMENT CORPORATION,2023-02-09,10.5270333,123.7294528,66947542.0,253
7174,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),LEGAZPI CITY (CAPITAL) (ALBAY),Albay 2nd District Engineering Office,P00727213LZ,"Construction of River Bank Protection Works and Drainage System, Brgy. Imalnod, Legazpi City, Albay",Construction of Dike,2023,23FB0123,29398956.34,29398908.74,2023-06-23,ROCA BLANCA CONSTRUCTION,2023-05-03,13.07539075,123.72988891,29398908.74,51
7182,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),CITY OF TABACO (ALBAY),Albay 1st District Engineering Office,P00727206LZ,"Rehabilitation of Drainage System including Box Culvert of Tabaco City Wharf Road, Tabaco City, Albay",Rehabilitation / Major Repair of Drainage Structure,2023,23FA0036,Clustered with Contract ID 23FA0036,4900000,2023-11-06,"CAJUGOTAN BUILDERS AND DEVELOPMENT CORP. (FOR: CAJUGOTAN CONSTRUCTION & SUPPLY) / DSB CONSTRUCTION  & SUPPLY, INC. (FORMERLY: DSB CO",2023-05-15,13.36025431,123.73279469,4900000.0,175
7183,Region V,MASBATE (FIRST LEGISLATIVE DISTRICT),SAN FERNANDO (MASBATE),Masbate 1st District Engineering Office,P00726296LZ,"Construction of Flood Mitigation Structure (Upstream), Brgy. Progreso, San Fernando, Masbate",Construction of Flood Mitigation Structure,2023,23FM0013,23520000,23519995.67,2023-08-30,JIMWELL BUILDERS AND SUPPLIES CORPORATION (FORMERLY:JIMWELL BUILDERS),2023-04-09,12.46528,123.7336,23519995.67,143
7186,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),CITY OF TABACO (ALBAY),Albay 1st District Engineering Office,P00737555LZ,"Construction of Tayhi River Control/Flood Mitigation at Barangay Cormidal, Tabaco City, Albay",Construction of Flood Mitigation Structure,2023,23FA0030,Clustered with Contract ID 23FA0035,5940000,2023-08-31,JORMAND CONSTRUCTION & SUPPLY,2023-04-27,13.365391,123.734513,5940000.0,126
7187,Region VII,CEBU (FIRST LEGISLATIVE DISTRICT),CITY OF NAGA (CEBU),Cebu 1st District Engineering Office,P00721819VS,"Construction of Mainit River Flood Control Structure, Naga City, Cebu",Construction of Flood Mitigation Structure,2023,23HE0133,34300000,34290000,2023-10-10,JANUARY BUILDERS,2023-04-27,10.217598,123.735336,34290000.0,166
7188,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),MALILIPOT (ALBAY),Albay 1st District Engineering Office,P00727204LZ,"Construction of Sta. Cruz Flood Mitigation Structure, Malilipot, Albay",Construction of Flood Mitigation Structure,2023,23FA0036,Clustered with Contract ID 23FA0036,20580000,2023-11-06,"CAJUGOTAN BUILDERS AND DEVELOPMENT CORP. (FOR: CAJUGOTAN CONSTRUCTION & SUPPLY) / DSB CONSTRUCTION  & SUPPLY, INC. (FORMERLY: DSB CO",2023-05-15,13.32138283,123.73554906,20580000.0,175
7189,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),CITY OF TABACO (ALBAY),Albay 1st District Engineering Office,P00726987LZ,"Construction of Quinale Seawall, Tabaco City, Albay",Construction of Flood Mitigation Structure,2023,23FA0040,138149999.51,96500000,2024-03-05,"SANRHO BUILDERS, INC.(FOR. SANRHO CONST. AND SUPPL / 3RB CONSTRUCTION & SUPPLY",2023-05-26,13.360487,123.736191,96500000.0,284
7191,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),CITY OF TABACO (ALBAY),Albay 1st District Engineering Office,P00727209LZ,"Construction of Quinale Seawall, Tabaco City, Albay Phase II",Construction of Flood Mitigation Structure,2023,23FA0040,Clustered with Contract ID 23FA0044,41650000,2024-03-05,"SANRHO BUILDERS, INC.(FOR. SANRHO CONST. AND SUPPL / 3RB CONSTRUCTION & SUPPLY",2023-05-26,13.359529,123.736508,41650000.0,284
7198,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),CITY OF TABACO (ALBAY),Albay 1st District Engineering Office,P00740497LZ,"Construction/Extension of Fatima Seawall (Phase 3), Tabaco City",Construction of Flood Mitigation Structure,2023,23FA0054,96499772.26,96500000,2024-04-16,MAKAPA CORPORATION / 8AR CONSTRUCTION AND DEVELOPMENT CORPORATION,2023-08-18,13.352726,123.738086,96500000.0,242
7199,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),LEGAZPI CITY (CAPITAL) (ALBAY),Albay 2nd District Engineering Office,P00740671LZ,"Construction of River Bank Protection Works and Drainage System along Brgy. Tamaoyan, Legazpi City, Albay",Construction of Dike,2023,23FB0100,48928064.13,48927385.73,2023-12-15,JEJAN CONSTRUCTION AND SUPPLY(FOR. JEJAN CONSTRUCT / TWINCARE BUILDERS INC.,2023-06-19,13.175218,123.738275,48927385.73,179
7204,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),CITY OF TABACO (ALBAY),Albay 1st District Engineering Office,P00740495LZ,"Construction/Extension of Fatima Seawall, (Phase 2) Tabaco City, Albay",Construction of Flood Mitigation Structure,2023,23FA0037,96499997.35,96500000,2024-02-22,3RB CONSTRUCTION & SUPPLY,2023-05-26,13.350278,123.739455,96500000.0,272
7205,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),CITY OF TABACO (ALBAY),Albay 1st District Engineering Office,P00727201LZ,"Construction/ Extension of San Lorenzo Seawall, (Phase IV) Tabaco City, Albay",Construction of Flood Mitigation Structure,2023,23FA0036,75459988.26,29400000,2023-11-06,"CAJUGOTAN BUILDERS AND DEVELOPMENT CORP. (FOR: CAJUGOTAN CONSTRUCTION & SUPPLY) / DSB CONSTRUCTION  & SUPPLY, INC. (FORMERLY: DSB CO",2023-05-15,13.34246667,123.7399861,29400000.0,175
7207,Region VII,CEBU (FOURTH LEGISLATIVE DISTRICT),MADRIDEJOS (CEBU),Cebu 4th District Engineering Office,P00721545VS,"Construction of Mancilang-Malbago Seawall, Malbago, Madridejos, Cebu",Construction of Flood Mitigation Structure,2023,23H00040,96500000,96493655.55,2023-12-14,WTG CONSTRUCTION & DEVELOPMENT CORPORATION / ROVILLA CONSTRUCTION,2023-02-20,11.298958,123.740395,96493655.55,297
