Index,Region,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectID,ProjectDescription,TypeofWork,FundingYear,ContractID,ABC_String,ContractCost_String,CompletionDateActual,Contractor,StartDate,Latitude,Longitude,ContractCost,Turnaround Time (Days)
6159,Region VII,NEGROS ORIENTAL (FIRST LEGISLATIVE DISTRICT),CITY OF GUIHULNGAN (NEGROS ORIENTAL),Negros Oriental 1st District Engineering Office,P00832657VS,"Construction of Spill Way, Barangay Balogo, Guihulngan City, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HJ0071,4950000,4935000,2024-06-25,GRAM CONSTRUCTION AND SUPPLY,2024-02-07,10.121814,123.175037,4935000.0,139
6166,Region V,CAMARINES SUR (THIRD LEGISLATIVE DISTRICT),NAGA CITY (CAMARINES SUR),Camarines Sur 3rd District Engineering Office,P00846119LZ,"Construction of of Flood Mitigation Structure, Brgy. Mabolo, Naga City",Construction of Flood Mitigation Structure,2024,24FF0072,4949958.96,4889903.22,2024-10-19,BENJOSH CONSTRUCTION SUPPLY,2024-06-03,13.613694,123.181585,4889903.22,138
6167,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),ZAMBOANGUITA (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00820213VS,"Construction of Nasigid SRIS Drainage Canal, Zamboanguita, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HL0048,20778940,20778940,2024-10-15,NRS BUILDERS AND SUPPLIES,2024-04-11,9.16264667,123.1833775,20778940.0,187
6174,Region VII,NEGROS ORIENTAL (FIRST LEGISLATIVE DISTRICT),CANLAON CITY (NEGROS ORIENTAL),Negros Oriental 1st District Engineering Office,P00820196VS,"Construction of Box Culvert along Vallehermoso-Canlaon City-La Castellana Rd, Canlaon, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HJ0065,2940000,2913716.97,2024-11-07,REKINA CONSTRUCTION SERVICES,2024-03-07,10.372618,123.185823,2913716.97,245
6178,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),ZAMBOANGUITA (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00820214VS,"Construction of River Control along Upstream A of Bangcolotan River, Zamboanguita, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HL0015,45080000,45080000,2024-08-12,ELITE GENERAL CONTRACTOR AND DEVELOPMENT CORP.,2024-02-20,9.09789972,123.1902492,45080000.0,174
6184,Region V,CAMARINES SUR (THIRD LEGISLATIVE DISTRICT),CALABANGA (CAMARINES SUR),Camarines Sur 3rd District Engineering Office,P00839670LZ,"Construction of Flood Mitigation Structure, Sto. Niño Quipayo, Calabanga, Camarines Sur",Construction of Flood Mitigation Structure,2024,24FF0019,4949926.97,4896762.41,2024-04-15,MEGA-ANT BUILDERS AND CONSTRUCTION SUPPLIES,2024-02-22,13.698527,123.193655,4896762.41,53
6189,Region V,CAMARINES SUR (SECOND LEGISLATIVE DISTRICT),MINALABAC (CAMARINES SUR),Camarines Sur 2nd District Engineering Office,P00821377LZ,"Construction of Dike (along Bicol River) within Bicol River Basin, Barangay Del Carmen - Del Rosario, Minalabac, Camarines Sur",Construction of Flood Mitigation Structure,2024,24FE0021,133170000,133169699.97,2024-10-25,G.C.I.  CONSTRUCTION AND DEV'T. CORP.,2024-02-20,13.558576,123.194743,133169699.97,248
6197,Region V,MASBATE (SECOND LEGISLATIVE DISTRICT),BALUD (MASBATE),Masbate 2nd District Engineering Office,P00820483LZ,"Construction of Flood Mitigation Structure, Barangay Mabuhay, Balud, Masbate",Construction of Flood Mitigation Structure,2024,24FI0061,62724959.88,62724959.88,2024-12-17,HKP CONSTRUCTION AND SUPPLY / A3 CONSTRUCTION & SUPPLY,2024-05-13,11.939922,123.199304,62724959.88,218
6200,Region VI,NEGROS OCCIDENTAL (SECOND LEGISLATIVE DISTRICT),CADIZ CITY (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00820007VS,"Construction of Flood Control Structure along Sicaba River, Cadiz City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0002,57899987.32,57896911.64,2024-10-24,R.A.G. CORONA CONSTRUCTION AND AGGREGATES SUPPLY,2024-03-13,10.95639,123.2008,57896911.64,225
6205,Region V,CAMARINES SUR (THIRD LEGISLATIVE DISTRICT),NAGA CITY (CAMARINES SUR),Camarines Sur 3rd District Engineering Office,P00846121LZ,"Construction of Flood Mitigation Structure (Drainage), Julian Meliton Elementary School, Concepcion Pequena, Naga City, Camarines Sur",Construction of Flood Mitigation Structure,2024,24FF0059,4949938.61,4949423.05,2024-07-12,AA PAHATI CONSTRUCTION AND SUPPLY,2024-05-08,13.617514,123.202877,4949423.05,65
6215,Region V,MASBATE (SECOND LEGISLATIVE DISTRICT),BALUD (MASBATE),Masbate 2nd District Engineering Office,P00820484LZ,"Construction of Flood Mitigation Structure, Barangay Quinyangan Diotay, Balud, Masbate",Construction of Flood Mitigation Structure,2024,24FI0063,62724959.24,62724959.24,2025-03-17,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION / 3R3M CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY: 3R3M CONSTRUCTION AND SUPPLY),2024-07-10,11.964186,123.233907,62724959.24,250
6217,Region V,MASBATE (FIRST LEGISLATIVE DISTRICT),CLAVERIA (MASBATE),Masbate 1st District Engineering Office,P00820434LZ,"Construction of Flood Control at Siargao River, Poblacion 1 and 2, Claveria, Masbate",Construction of Flood Mitigation Structure,2024,24FM0035,96500000,96490836.48,2024-11-28,A3 CONSTRUCTION & SUPPLY / SJMC CONSTRUCTION SERVICES,2024-03-19,12.8986111,123.238056,96490836.48,254
6227,Region VI,ILOILO (FIFTH LEGISLATIVE DISTRICT),AJUY (ILOILO),Iloilo 3rd District Engineering Office,P00820170VS,"Construction of Sto. Rosario CIS Slope Protection, Ajuy, Iloilo",Construction of Flood Mitigation Structure,2024,24GH0104,9800000,9702998.81,2024-08-09,SBF CONSTRUCTION & DEVELOPMENT CORPORATION,2024-04-08,11.09783,122.95762,9702998.81,123
6234,Region VII,CEBU (SEVENTH LEGISLATIVE DISTRICT),MALABUYOC (CEBU),Cebu 7th District Engineering Office,P00834659VS,"Construction of Revetment along Lalao River, Malabuyoc, Cebu",Construction of Flood Mitigation Structure,2024,24HO0081,39196117.95,39196051.67,2024-05-27,GREEN WORLD CONSTRUCTION / MUANA CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY,2024-02-26,9.676612,123.326344,39196051.67,91
6236,Region IX,ZAMBOANGA SIBUGAY (SECOND LEGISLATIVE DISTRICT),IPIL (CAPITAL) (ZAMBOANGA SIBUGAY),Zamboanga Sibugay 2nd District Engineering Office,P00820218MN,"Construction of Flood Control Structure along Sanito River (Phase IV), Ipil, Zamboanga Sibugay",Construction of Flood Mitigation Structure,2024,24JF0004,57900000,38685192,2024-11-18,BARILLO CONSTRUCTION AND ENTERPRISES,2024-03-21,7.76504,122.60627,38685192.0,242
6238,Region IX,ZAMBOANGA DEL SUR (SECOND LEGISLATIVE DISTRICT),SAN MIGUEL (ZAMBOANGA DEL SUR),Zamboanga del Sur 2nd District Engineering Office,P00820139MN,"Construction of Flood Control Structure along Dumalian River, Brgy. Dumalian, San Miguel, Zamboanga del Sur",Construction of Flood Mitigation Structure,2024,24JG0017,49000000,48974384.57,2024-07-16,NRMM CONSTRUCTION AND DEV'T CORP.,2024-04-08,7.723305,123.242243,48974384.57,99
6239,Region IX,ZAMBOANGA SIBUGAY (SECOND LEGISLATIVE DISTRICT),IPIL (CAPITAL) (ZAMBOANGA SIBUGAY),Zamboanga Sibugay 2nd District Engineering Office,P00820226MN,"Construction of Flood Control Structure along Tupilac River (Phase V), RT Lim, Zamboanga Sibugay",Construction of Flood Mitigation Structure,2024,24JF0008,57900000,57892201.4,2024-09-23,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,2024-03-18,7.63066,122.44709,57892201.4,189
6242,Region IX,ZAMBOANGA SIBUGAY (SECOND LEGISLATIVE DISTRICT),IPIL (CAPITAL) (ZAMBOANGA SIBUGAY),Zamboanga Sibugay 2nd District Engineering Office,P00820220MN,"Construction of Flood Control Structure along Sanito River (Phase VI), Ipil, Zamboanga Sibugay",Construction of Flood Mitigation Structure,2024,24JF0006,57900000,38685192,2024-11-20,BARILLO CONSTRUCTION AND ENTERPRISES,2024-03-21,7.76691,122.60823,38685192.0,244
6243,Region VII,CEBU (SEVENTH LEGISLATIVE DISTRICT),MALABUYOC (CEBU),Cebu 7th District Engineering Office,P00834668VS,"Construction of Riverbank Structure at Barangay Sto. Niño - Barangay Mindanao, Malabuyoc, Cebu",Construction of Flood Mitigation Structure,2024,24HO0100,48996071.74,48995671.74,2024-08-12,JA ACHACOSO ENTERPRISES & GENERAL SERVICES,2024-03-18,9.650534,123.327934,48995671.74,147
6247,Region VI,AKLAN (FIRST LEGISLATIVE DISTRICT),BANGA (AKLAN),Aklan District Engineering Office,P00820300VS,"Construction of Revetment Wall along Aklan River, Barangay Badiangan, Banga, Aklan",Construction of Revetment,2024,24GA0022,28950000,28949980.16,2024-07-19,G.F. ROVERO MERCHANDISING,2024-02-06,11.579236,122.308188,28949980.16,164
6251,Region IX,ZAMBOANGA SIBUGAY (SECOND LEGISLATIVE DISTRICT),IPIL (CAPITAL) (ZAMBOANGA SIBUGAY),Zamboanga Sibugay 2nd District Engineering Office,P00820225MN,"Construction of Flood Control Structure along Tupilac River (Phase IV), RT Lim, Zamboanga Sibugay",Construction of Flood Mitigation Structure,2024,24JF0007,57900000,57749526.89,2024-11-11,LAKEWOOD CONSTRUCTION COMPANY,2024-03-12,7.63118,122.44957,57749526.89,244
6257,Region VI,ILOILO (SECOND LEGISLATIVE DISTRICT),SAN MIGUEL (ILOILO),Iloilo 4th District Engineering Office,P00820171VS,"Construction of Aganan RIS Dam Concrete Slope Protection, San Miguel, Iloilo",Construction of Flood Mitigation Structure,2024,24GI0093,11760000,11759999.77,2024-12-31,1 BEATUS BUILDERS CORP.,2024-05-07,10.779826,122.451104,11759999.77,238
6266,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),SIATON (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00820211VS,"Construction of Licolico River Control along Upstream B, Siaton, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HL0011,45080000,45080000,2024-09-02,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,2024-02-20,9.14850389,122.9118358,45080000.0,195
6267,Region IX,ZAMBOANGA SIBUGAY (SECOND LEGISLATIVE DISTRICT),SIAY (ZAMBOANGA SIBUGAY),Zamboanga Sibugay 2nd District Engineering Office,P00820140MN,"Improvement of Balagon CIS Irrigation Drainage, Siay, Zamboanga Sibugay",Construction of Flood Mitigation Structure,2024,24JF0002,13066340,10225709.86,2025-02-10,EG-VRYLE CONSTRUCTION & ENTERPRISES,2024-04-17,7.77551,122.91517,10225709.86,299
6271,Region VII,NEGROS ORIENTAL (FIRST LEGISLATIVE DISTRICT),LA LIBERTAD (NEGROS ORIENTAL),Negros Oriental 1st District Engineering Office,P00820199VS,"Construction of Flood Control along Habag River, La Libertad, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HJ0019,8820000,8731537.66,2024-06-24,KOUKEN CONSTRUCTION,2024-02-07,10.05279,123.24473,8731537.66,138
6276,Region VI,ILOILO (SECOND LEGISLATIVE DISTRICT),SAN MIGUEL (ILOILO),Iloilo 4th District Engineering Office,P00820266VS,"Construction of Aganan Flood Control Structure (Jaro-Aganan River), Barangay 15 and Barangay Sta. Cruz, San Miguel, Iloilo",Construction of Flood Mitigation Structure,2024,24GI0019,86850000,86849591.61,2024-11-27,J E G CONSTRUCTION FIRM CORPORATION / UY CONDEV CORPORATION (FORMERLY:UY CONSTRUCTION &,2024-02-14,10.780413,122.45252,86849591.61,287
6277,Region VI,NEGROS OCCIDENTAL (SECOND LEGISLATIVE DISTRICT),CADIZ CITY (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00820173VS,"Construction of Flood Control Structure along Minabuno River, Cadiz City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0005,48999992.35,48997991.31,2024-08-12,A.C. RIVERO DEVELOPMENT CORPORATION,2024-02-14,10.91438,123.32922,48997991.31,180
6278,Region VI,ILOILO (FIFTH LEGISLATIVE DISTRICT),AJUY (ILOILO),Iloilo 3rd District Engineering Office,P00820168VS,"Construction of Flood Control Structure, Barangay Pili, Ajuy, Iloilo",Construction of Flood Mitigation Structure,2024,24GH0079,29400000,29399525.91,2024-12-10,C'ZARLES CONSTRUCTION & SUPPLY,2024-03-19,11.11729,123.0138,29399525.91,266
6286,Region VII,NEGROS ORIENTAL (FIRST LEGISLATIVE DISTRICT),CITY OF GUIHULNGAN (NEGROS ORIENTAL),Negros Oriental 1st District Engineering Office,P00820203VS,"Construction of Flood Control along P. Zamora River, Guihulngan City, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HJ0024,29400000,29400000,2024-09-04,KOUKEN CONSTRUCTION,2024-02-07,10.06837,123.25004,29400000.0,210
6293,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),CITY OF TALISAY (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00820174VS,"Construction of Flood Control Structure of Matab-ang River (Upstream), Talisay City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0006,48999999.42,48999999.46,2024-08-12,M.K.U. CONSTRUCTION AND SUPPLY,2024-02-14,10.71847,122.96127,48999999.46,180
6295,Region VII,NEGROS ORIENTAL (SECOND LEGISLATIVE DISTRICT),SIBULAN (NEGROS ORIENTAL),Negros Oriental 2nd District Engineering Office,P00820207VS,"Construction of Calabnugan CIS Flood/Slope Protection Works/ River Sill, Sibulan, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HK0059,19600000,19600000,2024-08-22,ASHLEYKA CONSTRUCTION AND SUPPLIES,2024-04-04,9.31761,123.250582,19600000.0,140
6299,Region IX,ZAMBOANGA SIBUGAY (SECOND LEGISLATIVE DISTRICT),ROSELLER LIM (ZAMBOANGA SIBUGAY),Zamboanga Sibugay 2nd District Engineering Office,P00820890MN,"Construction of Flood Control Structure at Magsaysay River Phase I RT Lim, Zamboanga Sibugay",Construction of Flood Mitigation Structure,2024,24J00233,96500000,95529501.4,2025-01-27,BARILLO CONSTRUCTION AND ENTERPRISES,2024-05-08,7.65128,122.46504,95529501.4,264
6302,Region VI,ANTIQUE (LEGISLATIVE DISTRICT),BUGASONG (ANTIQUE),Antique District Engineering Office,P00820273VS,"Construction of Flood Control Structure along Cangaranan River, Barangay Igbalangao, Bugasong, Antique",Construction of Flood Mitigation Structure,2024,24GB0011,82025000,82025000,2024-12-16,F & J GENERAL CONSTRUCTION AND SUPPLY CORPORATION,2024-02-09,11.0053,122.62,82025000.0,311
6307,Region VI,ILOILO (FIRST LEGISLATIVE DISTRICT),GUIMBAL (ILOILO),Iloilo 1st District Engineering Office,P00832630VS,"Construction of Shoreline Protection Structurec, Coastwise, Guimbal, Iloilo",Construction of Flood Mitigation Structure,2024,24GF0118,29700000,29649524.81,2025-03-03,RINEL CONSTRUCTION SERVICES,2024-04-29,10.657151,122.312169,29649524.81,308
6308,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),ENRIQUE B. MAGALONA (SARAVIA) (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00834637VS,"Construction of Flood Control Structure at Coastal Barangays of Tuburan - Tomongtong and Gahit, Enrique B. Magalona, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0129,29399991.35,29399993.82,2024-08-06,SL & G CONSTRUCTION,2024-02-19,10.884722,122.9625,29399993.82,169
6313,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),BASAY (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00820408VS,"Construction of Tiabanan River Control (Upstream A), Bal-os, Basay, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HL0012,45080000,45080000,2024-07-31,ELITE GENERAL CONTRACTOR AND DEVELOPMENT CORP.,2024-02-20,9.43194389,122.6233417,45080000.0,162
6321,Region VI,ILOILO (FIRST LEGISLATIVE DISTRICT),GUIMBAL (ILOILO),Iloilo 1st District Engineering Office,P00832625VS,"Construction of Jarao River Control and Revetment Structure, Guimbal, Iloilo",Construction of Flood Mitigation Structure,2024,24GF0026,49500000,49445882.19,2024-11-15,IBC INTERNATIONAL BUILDERS CORPORATION,2024-04-08,10.7175,122.31222,49445882.19,221
6325,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),SILAY CITY (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00832638VS,"Construction of Flood Control Structure, Barangay Lantad, Silay City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0076,10394998.95,10392962.4,2024-05-28,CANLAON BUILDERS AND DEVELOPMENT CORPORATION,2024-02-14,10.811944,122.96277,10392962.4,104
6328,Region VI,ILOILO (FIRST LEGISLATIVE DISTRICT),GUIMBAL (ILOILO),Iloilo 1st District Engineering Office,P00821042VS,"Construction of Jarao River Flood Control Project, Guimbal, Iloilo",Construction of Flood Mitigation Structure,2024,24GF0024,29400000,29094184.94,2024-07-25,"GALENO CONSTRUCTION, INC.",2024-02-26,10.69248,122.31311,29094184.94,150
6330,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),SIATON (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00835016VS,"Construction of Mantuyop River Control, Upstream B, Sitio Mangapo, Mantuyop, Siaton, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HL0050,29700000,29700000,2024-08-06,MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,2024-04-11,9.06179222,123.0183742,29700000.0,117
6334,Region IX,ZAMBOANGA DEL SUR (SECOND LEGISLATIVE DISTRICT),SAN MIGUEL (ZAMBOANGA DEL SUR),Zamboanga del Sur 2nd District Engineering Office,P00820137MN,"Construction of Bulawan Flood Control Project, Bulawan, San Miguel, Zamboanga del Sur",Construction of Flood Mitigation Structure,2024,24JG0015,29400000,29384767.64,2024-08-15,NRMM CONSTRUCTION AND DEV'T CORP.,2024-05-02,7.62775,123.25368,29384767.64,105
6341,Region IX,ZAMBOANGA DEL NORTE (SECOND LEGISLATIVE DISTRICT),JOSE DALMAN (PONOT) (ZAMBOANGA DEL NORTE),Zamboanga del Norte 2nd District Engineering Office,P00833585MN,"Construction of Flood Control Structure, Jose Dalman, Zamboanga del Norte",Construction of Flood Mitigation Structure,2024,24JC0008,9900000,9894959.6,2025-02-23,RDT CONSTRUCTION AND GENERAL MERCHANDISE,2024-02-14,8.45081,123.019749,9894959.6,375
6350,Region VII,NEGROS ORIENTAL (FIRST LEGISLATIVE DISTRICT),CITY OF GUIHULNGAN (NEGROS ORIENTAL),Negros Oriental 1st District Engineering Office,P00820202VS,"Construction of Flood Control along Naasog River, Barangay P. Zamora Guihulngan City, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HJ0053,14700000,14700000,2024-08-13,KOUKEN CONSTRUCTION,2024-02-07,10.077898,123.255372,14700000.0,188
6351,Region IX,ZAMBOANGA DEL SUR (SECOND LEGISLATIVE DISTRICT),GUIPOS (ZAMBOANGA DEL SUR),Zamboanga del Sur 2nd District Engineering Office,P00820138MN,"Construction of Dinas River Flood Control, Barangay Balongating, Guipos Zamboanga del Sur, Phase IV",Construction of Flood Mitigation Structure,2024,24JG0016,19600000,19362789,2025-01-27,ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION,2024-04-08,7.749118,123.334037,19362789.0,294
6357,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),SIATON (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00820212VS,"Construction of Mantuyop River Control, Siaton, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HL0017,44067660,44067660,2024-09-11,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,2024-02-20,9.04864944,123.0208753,44067660.0,204
6361,Region VI,ILOILO (THIRD LEGISLATIVE DISTRICT),POTOTAN (ILOILO),Iloilo 2nd District Engineering Office,P00820160VS,"Construction of Flood Control along Suage River in Pototan, Iloilo",Construction of Flood Mitigation Structure,2024,24GG0066,38220000,38219688.96,2024-12-16,ROPRIM CONSTRUCTION CORPORATION (FORMERLY ROPRIM  CONSTRUCTION),2024-02-12,10.94246389,122.6410081,38219688.96,308
6362,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),ENRIQUE B. MAGALONA (SARAVIA) (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00832637VS,"Construction of Flood Control Structure, Barangay Batea, Municipality of EB Magalona, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0075,4949999.69,4949999.69,2024-05-05,SL & G CONSTRUCTION,2024-02-14,10.8772,122.96581,4949999.69,81
6373,Region VI,ILOILO (THIRD LEGISLATIVE DISTRICT),CALINOG (ILOILO),Iloilo 2nd District Engineering Office,P00820034VS,"Construction of Slope Protection along Allbunan River in Brgy. Banban, Galinog, llollo",Construction of Slope Protection Structure,2024,24GG0061,120625000,120624908.04,2024-07-22,IBC INTERNATIONAL BUILDERS CORPORATION,2024-02-16,11.163029,122.4797,120624908.04,157
6375,Region VII,CEBU (SEVENTH LEGISLATIVE DISTRICT),MALABUYOC (CEBU),Cebu 7th District Engineering Office,P00820858VS,"Construction of Revetment Wall at Sitio Nonok - Sitio Mainit, Brgy. Montañeza, Malabuyoc, Cebu",Construction of Flood Mitigation Structure,2024,24HO0090,96496398.18,96495998.18,2024-09-16,"JTC CRUZ CONSTRUCTION CO., INC.",2024-03-18,9.68663,123.337654,96495998.18,182
6377,Region VII,NEGROS ORIENTAL (FIRST LEGISLATIVE DISTRICT),CITY OF GUIHULNGAN (NEGROS ORIENTAL),Negros Oriental 1st District Engineering Office,P00820201VS,"Construction of Flood Control along McKinley River, Guihulngan City, Negros Oriental",Construction of Flood Mitigation Structure,2024,24HJ0063,14700000,14700000,2024-06-03,EJJ CONSTRUCTION AND SUPPLY,2024-02-07,10.08578,123.25934,14700000.0,117
6384,Region VI,NEGROS OCCIDENTAL (THIRD LEGISLATIVE DISTRICT),CITY OF TALISAY (NEGROS OCCIDENTAL),Negros Occidental 1st District Engineering Office,P00834998VS,"Construction of Drainage System, Brgy. Zone 11, Talisay City, Negros Occidental",Construction of Flood Mitigation Structure,2024,24GK0146,4949995.49,4947449.14,2024-06-04,SL & G CONSTRUCTION,2024-03-13,10.73438,122.96728,4947449.14,83
6395,Region VII,CEBU (SEVENTH LEGISLATIVE DISTRICT),MALABUYOC (CEBU),Cebu 7th District Engineering Office,P00820859VS,"Construction of Revetment Wall at Sitio Mainit - Sitio Nonok, Brgy. Montañeza, Malabuyoc, Cebu",Construction of Flood Mitigation Structure,2024,24HO0091,96496418.22,96495968.22,2024-10-11,"JTC CRUZ CONSTRUCTION CO., INC.",2024-03-18,9.68534,123.338488,96495968.22,207
6416,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),SIATON (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00820409VS,"Rehabilitation of River Control along Siaton River, Upstream A, Barangay Datag, Siaton, Negros Oriental",Rehabilitation / Major Repair of Flood Control Structure,2024,24HL0013,45080000,45080000,2024-07-16,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,2024-02-20,9.09168667,123.0271547,45080000.0,147
6423,Region V,CAMARINES NORTE (SECOND LEGISLATIVE DISTRICT),BASUD (CAMARINES NORTE),Camarines Norte Sub-District Engineering Office,P00820438LZ,"Construction of Flood Control Structure along Basud River, Barangay San Jose, Basud, Camarines Norte",Construction of Flood Mitigation Structure,2024,24F00152,86849994.71,86849923.14,2024-12-09,128 DRAGON CONSTRUCTION AND SUPPLIES,2024-03-25,14.0582,122.969,86849923.14,259
6427,Region VI,NEGROS OCCIDENTAL (FIFTH LEGISLATIVE DISTRICT),BINALBAGAN (NEGROS OCCIDENTAL),Negros Occidental 2nd District Engineering Office,P00820269VS,"Construction of Binalbagan River Bank Slope Protection along Binalbagan-Isabela Road (Left Bank), Negros Occidental",Construction of Slope Protection Structure,2024,24GL0045,88258900,88258900,2024-08-31,C'ZARLES CONSTRUCTION & SUPPLY / JVC TOUGH CORE CONSTRUCTION & BUILDERS CORP.,2024-02-13,10.202262,122.925714,88258900.0,200
6430,Region VI,ILOILO (FOURTH LEGISLATIVE DISTRICT),DUMANGAS (ILOILO),Iloilo 2nd District Engineering Office,P00820391VS,"Construction of Flood Control Structure along Jalaur River in Dumangas, Iloilo",Construction of Flood Mitigation Structure,2024,24GG0015,49000000,48885166.99,2024-08-07,MJ BARCELONA CONSTRUCTION AND SUPPLY / STEVEN CONSTRUCTION & SUPPLY,2024-02-12,10.84745222,122.6508897,48885166.99,177
6434,Region VII,CEBU (SEVENTH LEGISLATIVE DISTRICT),MALABUYOC (CEBU),Cebu 7th District Engineering Office,P00835012VS,"Construction of Dike, Brgy. Montañeza-Brgy. Lombo, Malabuyoc, Cebu",Construction of Flood Mitigation Structure,2024,24HO0102,148495665.12,148495065.12,2024-08-14,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J",2024-03-12,9.685073,123.339018,148495065.12,155
6439,Region VI,ILOILO (FOURTH LEGISLATIVE DISTRICT),DUMANGAS (ILOILO),Iloilo 2nd District Engineering Office,P00834560VS,"Construction of Flood Control Structure, Barangay Balabag, Dumangas, Iloilo",Construction of Revetment,2024,24GG0153,77200000,76431495.76,2025-02-24,"WOODLAND CONSTRUCTION & SUPPLY, INC. / MRZA CONSTRUCTION CORPORATION",2024-03-08,10.842647,122.653815,76431495.76,353
6453,Region VI,ILOILO (THIRD LEGISLATIVE DISTRICT),POTOTAN (ILOILO),Iloilo 2nd District Engineering Office,P00820393VS,"Construction of Flood Control Structure along Jalaur River, Barangay Bongco, Pototan, Iloilo",Construction of Flood Mitigation Structure,2024,24GG0020,34300000,34169585.46,2024-08-11,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)",2024-02-12,10.85241056,122.6542306,34169585.46,181
6455,Region V,CAMARINES SUR (FIRST LEGISLATIVE DISTRICT),LUPI (CAMARINES SUR),Camarines Sur 1st District Engineering Office,P00821409LZ,"Construction of Sipocot River Flood Mitigation Structure (Barangay Tapi Section), Lupi, Camarines Sur",Construction of Flood Mitigation Structure,2024,24FD0003,67549956.03,67549956.01,2024-06-25,BICOL GOLDROCK CONSTRUCTION CORPORATION,2024-02-16,13.783094,122.926581,67549956.01,130
6456,Region VII,CEBU (SEVENTH LEGISLATIVE DISTRICT),MALABUYOC (CEBU),Cebu 7th District Engineering Office,P00834571VS,"Construction of Dike at Barangay Montañeza - Barangay Lombo, Malabuyoc, Cebu",Construction of Flood Mitigation Structure,2024,24HO0117,57895364.01,57895064.01,2024-08-14,"JTC CRUZ CONSTRUCTION CO., INC.",2024-04-01,9.685073,123.339018,57895064.01,135
6459,Region VI,NEGROS OCCIDENTAL (FIFTH LEGISLATIVE DISTRICT),BINALBAGAN (NEGROS OCCIDENTAL),Negros Occidental 2nd District Engineering Office,P00820003VS,"Construction of Binalbagan River Bank Slope Protection at Barangay Bagroy, Binalbagan, Negros Occidental",Construction of Slope Protection Structure,2024,24GL0044,67550000,67549997.3,2024-08-09,KENNETH CONSTRUCTION AND GENERAL MERCHANDISE,2024-02-13,10.203649,122.926797,67549997.3,178
